name,epoch,train_loss,matched_model_mae,matched_interp_mae,matched_model_peak_pct,matched_interp_peak_pct,matched_model_flow_pct,matched_interp_flow_pct
medium_mse,1,0.00259,0.00995,0.01541,17.63,6.24,8.44,3.33
medium_mse,2,0.00036,0.00704,0.0154,14.04,6.32,6.44,3.38
medium_mse,3,0.00026,0.00591,0.0154,12.82,6.31,4.32,3.38
medium_mse,4,0.00018,0.00502,0.01539,9.8,6.33,1.82,3.4
medium_mse,5,0.00015,0.00471,0.01541,8.66,6.29,2.06,3.41
medium_mse,6,0.00014,0.00459,0.01539,8.27,6.29,1.42,3.32
medium_mse,7,0.00011,0.00453,0.01539,8.03,6.33,2.05,3.38
medium_mse,8,0.00013,0.00433,0.01541,7.97,6.34,1.44,3.34
medium_mse,9,0.0001,0.00399,0.0154,7.32,6.22,1.26,3.35
medium_mse,10,9e-05,0.00396,0.01541,6.27,6.32,1.44,3.27
medium_mse,11,9e-05,0.00396,0.01541,6.88,6.33,2.39,3.4
medium_mse,12,9e-05,0.00397,0.0154,5.78,6.27,1.71,3.35
medium_mse,13,9e-05,0.00364,0.0154,6.7,6.3,2.02,3.34
medium_mse,14,8e-05,0.00366,0.0154,6.54,6.25,1.66,3.3
medium_mse,15,9e-05,0.00365,0.0154,6.15,6.34,2.02,3.28
medium_mse,16,7e-05,0.00328,0.01541,5.75,6.3,1.35,3.33
medium_mse,17,7e-05,0.00344,0.0154,5.3,6.34,2.1,3.36
medium_mse,18,7e-05,0.00358,0.0154,5.95,6.23,1.14,3.4
medium_mse,19,9e-05,0.00357,0.01541,5.25,6.33,1.79,3.29
medium_mse,20,6e-05,0.00344,0.0154,4.62,6.38,2.94,3.28
medium_vg,1,0.00206,0.00852,0.01539,16.17,6.4,4.97,3.35
medium_vg,2,0.00034,0.00649,0.01541,13.38,6.28,3.63,3.36
medium_vg,3,0.00029,0.00574,0.01541,10.28,6.27,1.66,3.29
medium_vg,4,0.00018,0.00525,0.0154,9.77,6.31,1.57,3.35
medium_vg,5,0.00018,0.00491,0.01539,8.36,6.3,2.39,3.46
medium_vg,6,0.00014,0.00494,0.0154,8.55,6.26,1.33,3.41
medium_vg,7,0.00015,0.0045,0.0154,8.71,6.32,1.77,3.41
medium_vg,8,0.00012,0.00444,0.0154,7.02,6.22,3.04,3.47
medium_vg,9,0.00011,0.00441,0.01541,6.42,6.32,2.08,3.38
medium_vg,10,0.00011,0.00393,0.0154,7.76,6.19,1.14,3.39
medium_vg,11,0.0001,0.00438,0.0154,7.2,6.33,2.31,3.35
medium_vg,12,9e-05,0.00415,0.0154,5.87,6.33,2.38,3.41
medium_vg,13,9e-05,0.00437,0.01541,7.25,6.27,3.7,3.34
medium_vg,14,9e-05,0.00366,0.0154,6.09,6.32,1.11,3.32
medium_vg,15,9e-05,0.00422,0.01541,6.53,6.23,2.13,3.28
medium_vg,16,9e-05,0.00366,0.0154,5.15,6.27,1.7,3.31
medium_vg,17,7e-05,0.00358,0.01541,5.71,6.26,1.57,3.35
medium_vg,18,7e-05,0.00347,0.0154,5.3,6.29,1.25,3.45
medium_vg,19,7e-05,0.00352,0.01541,5.08,6.26,1.53,3.39
medium_vg,20,8e-05,0.00332,0.0154,5.5,6.24,1.02,3.31
medium_vg_div,1,0.00258,0.00813,0.0154,15.42,6.22,4.07,3.23
medium_vg_div,2,0.00034,0.00739,0.01539,12.94,6.16,5.72,3.38
medium_vg_div,3,0.00023,0.0054,0.01541,10.02,6.29,2.04,3.41
medium_vg_div,4,0.00016,0.00629,0.0154,8.25,6.31,7.16,3.35
medium_vg_div,5,0.00016,0.00464,0.0154,9.37,6.2,2.03,3.42
medium_vg_div,6,0.00013,0.00491,0.0154,8.16,6.24,3.57,3.34
medium_vg_div,7,0.00011,0.00442,0.0154,7.83,6.26,1.31,3.3
medium_vg_div,8,0.0001,0.00428,0.0154,7.97,6.3,2.86,3.33
medium_vg_div,9,0.00012,0.00455,0.0154,7.24,6.32,3.02,3.25
medium_vg_div,10,9e-05,0.00393,0.0154,7.05,6.29,1.75,3.46
medium_vg_div,11,8e-05,0.0039,0.01541,6.39,6.38,1.27,3.42
medium_vg_div,12,0.00011,0.00402,0.0154,6.87,6.29,1.43,3.41
medium_vg_div,13,9e-05,0.00347,0.0154,6.21,6.24,1.37,3.35
medium_vg_div,14,8e-05,0.00371,0.0154,6.48,6.19,1.7,3.42
